Month,Day,Year,Venue,Event_Artists,Artist_Formula,Event_Formulas,Index
May,7,1993,Gruene Hall,Robert Earl Keen,Robert Earl Keen,,10443
May,9,1993,Sneakers,Firehouse,Firehouse,,10444
May,13,1993,San Antonio Municipal Auditorium,"Lou Rawls, Nell Carter",Lou Rawls,,10445
May,13,1993,San Antonio Municipal Auditorium,"Lou Rawls, Nell Carter",Nell Carter,,10445
May,14,1993,Farmer's Daughter,Johnny Rodriguez,Johnny Rodriguez,,10446
May,14,1993,Gruene Hall,Bo Diddley,Bo Diddley,,10447
May,14,1993,The Showcase,Helmet,Helmet,,10448
May,14,1993,The Edge,"Los Caifanes, Maldita Vecindad",Los Caifanes,,10449
May,14,1993,The Edge,"Los Caifanes, Maldita Vecindad",Maldita Vecindad,,10449
May,16,1993,Majestic Theatre,Steven Wright,Steven Wright,,10450
May,18,1993,Sneakers,Faster Pussycat,Faster Pussycat,,10451
May,19,1993,Sneakers,Yngwie Malmsteen,Yngwie Malmsteen,,10452
May,26,1993,Sneakers,Jackyl,Jackyl,,10453
May,28,1993,Majestic Theatre,"Dream Theater, Galactic Cowboys",Dream Theater,,10454
May,28,1993,Majestic Theatre,"Dream Theater, Galactic Cowboys",Galactic Cowboys,,10454
May,29,1993,Alamodome,Paul McCartney*,Paul McCartney*,,10455
May,30,1993,Sea World of Texas,Foreigner,Foreigner,,10456
June,5,1993,Rivercenter Comedy Club,"Tom Barshop (""Biff"" from ""Back to the Future"")",Tom Barshop (Biff from Back to the Future),,10457
June,5,1993,Sea World of Texas,Chicago,Chicago,,10458
June,5,1993,Sneakers,"Jeff Healey Band, Jay Aaron",Jeff Healey Band,,10459
June,5,1993,Sneakers,"Jeff Healey Band, Jay Aaron",Jay Aaron,,10459
June,6,1993,Alamodome,"El Baile: Campanas De America,Ram Herrera, Little Joe y La Familia, Mazz, Emilio Navaira, Selena, La Sombra",Mariachi Campanas de America,El Baile,10460
June,6,1993,Alamodome,"El Baile: Campanas De America,Ram Herrera, Little Joe y La Familia, Mazz, Emilio Navaira, Selena, La Sombra",Ram Herrera,El Baile,10460
June,6,1993,Alamodome,"El Baile: Campanas De America,Ram Herrera, Little Joe y La Familia, Mazz, Emilio Navaira, Selena, La Sombra",Little Joe y La Familia,El Baile,10460
June,6,1993,Alamodome,"El Baile: Campanas De America,Ram Herrera, Little Joe y La Familia, Mazz, Emilio Navaira, Selena, La Sombra",Mazz,El Baile,10460
June,6,1993,Alamodome,"El Baile: Campanas De America,Ram Herrera, Little Joe y La Familia, Mazz, Emilio Navaira, Selena, La Sombra",Emilio Navaira,El Baile,10460
June,6,1993,Alamodome,"El Baile: Campanas De America,Ram Herrera, Little Joe y La Familia, Mazz, Emilio Navaira, Selena, La Sombra",Selena,El Baile,10460
June,6,1993,Alamodome,"El Baile: Campanas De America,Ram Herrera, Little Joe y La Familia, Mazz, Emilio Navaira, Selena, La Sombra",La Sombra,El Baile,10460
June,26,1993,Sunken Garden Theater,"Stone Temple Pilots, Butthole Surfers, Basehead, fIREHOSE",Stone Temple Pilots,,10461
June,26,1993,Sunken Garden Theater,"Stone Temple Pilots, Butthole Surfers, Basehead, fIREHOSE",Butthole Surfers,,10461
June,26,1993,Sunken Garden Theater,"Stone Temple Pilots, Butthole Surfers, Basehead, fIREHOSE",Basehead,,10461
June,26,1993,Sunken Garden Theater,"Stone Temple Pilots, Butthole Surfers, Basehead, fIREHOSE",Firehose,,10461
July,1,1993,Sneakers,"Robin Trower, Dave Steffens Band",Robin Trower,,10462
July,1,1993,Sneakers,"Robin Trower, Dave Steffens Band",Dave Steffens Band,,10462
July,2,1993,Salute,Steve Jordan,Steve Jordan,,10463
July,2,1993,Billy Blues BBQ,Bobby Mack & Night Train,Bobby Mack & Night Train,,10464
July,2,1993,Main Street,Rodney Warner & the Bluz Expres,Rodney Warner & the Bluz Expres,,10465
July,2,1993,The Beauregard Cafe,The Rhythm Kings,the Rhythm Kings,,10466
July,2,1993,Wacky's,"Spank, Spanked With a Goody",Spank,,10467
July,2,1993,Wacky's,"Spank, Spanked With a Goody",Spanked With a Goody,,10467
July,2,1993,DMZ Clubhouse,"Kaos S.A., Apocalyptic Horror, Spectre, Matricide",Kaos S.A.,,10468
July,2,1993,DMZ Clubhouse,"Kaos S.A., Apocalyptic Horror, Spectre, Matricide",Apocalyptic Horror,,10468
July,2,1993,DMZ Clubhouse,"Kaos S.A., Apocalyptic Horror, Spectre, Matricide",Spectre,,10468
July,2,1993,DMZ Clubhouse,"Kaos S.A., Apocalyptic Horror, Spectre, Matricide",Matricide,,10468
July,2,1993,Moe's Lounge,Bernardo y sus Compadre,Bernardo y sus Compadre,,10469
July,2,1993,Arturo's Sports Bar & Grill,La Venganza,La Venganza,,10470
July,2,1993,King Armadillo,Jose Mungia,Jose Mungia,,10471
July,3,1993,King Armadillo,Jose Mungia,Jose Mungia,,10472
July,3,1993,El Camaroncito,Los Vientos,Los Vientos,,10473
July,3,1993,Wacky's,"Sun Day, Mistletoe Sugar",Sun Day,,10474
July,3,1993,Wacky's,"Sun Day, Mistletoe Sugar",Mistletoe Sugar,,10474
July,3,1993,The Beauregard Cafe,The Rhythm Kings,the Rhythm Kings,,10475
July,3,1993,Main Street,the Smith Brothers,the Smith Brothers,,10476
July,3,1993,Billy Blues BBQ,Guy Forsyth,Guy Forsyth,,10477
July,3,1993,Sea World of Texas,Vince Gill,Vince Gill,,10478
July,3,1993,Mateo Camargo Park,"The Red, White & Blues Bash: Augie Meyers, Earl King, The Tri-Sax-Ual Soul Champs, Bugs Henderson, Eddie & the All-Niters",Augie Meyers,"The Red, White & Blues Bash",10479
July,3,1993,Mateo Camargo Park,"The Red, White & Blues Bash: Augie Meyers, Earl King, The Tri-Sax-Ual Soul Champs, Bugs Henderson, Eddie & the All-Niters",Earl King,"The Red, White & Blues Bash",10479
July,3,1993,Mateo Camargo Park,"The Red, White & Blues Bash: Augie Meyers, Earl King, The Tri-Sax-Ual Soul Champs, Bugs Henderson, Eddie & the All-Niters",The Tri-Sax-Ual Soul Champs,"The Red, White & Blues Bash",10479
July,3,1993,Mateo Camargo Park,"The Red, White & Blues Bash: Augie Meyers, Earl King, The Tri-Sax-Ual Soul Champs, Bugs Henderson, Eddie & the All-Niters",Bugs Henderson,"The Red, White & Blues Bash",10479
July,3,1993,Mateo Camargo Park,"The Red, White & Blues Bash: Augie Meyers, Earl King, The Tri-Sax-Ual Soul Champs, Bugs Henderson, Eddie & the All-Niters",Eddie & the All-Niters,"The Red, White & Blues Bash",10479
July,3,1993,The Little House,"Arturo ""Sauce"" Gonzales and The West Side Sound",Arturo Sauce Gonzales and The West Side Sound,,10480
July,3,1993,Cameo Theater,"The PunkRockSuperjam: El Santo, Glorium, Johnboy, The American Psycho Band, Bucketful, Buddhachest, Gomez, Gut, Figbash, Kerosene, Boy Wonder, Kids Meal",El Santo,The PunkRockSuperjam,10481
July,3,1993,Cameo Theater,"The PunkRockSuperjam: El Santo, Glorium, Johnboy, The American Psycho Band, Bucketful, Buddhachest, Gomez, Gut, Figbash, Kerosene, Boy Wonder, Kids Meal",Glorium,The PunkRockSuperjam,10481
July,3,1993,Cameo Theater,"The PunkRockSuperjam: El Santo, Glorium, Johnboy, The American Psycho Band, Bucketful, Buddhachest, Gomez, Gut, Figbash, Kerosene, Boy Wonder, Kids Meal",Johnboy,The PunkRockSuperjam,10481
July,3,1993,Cameo Theater,"The PunkRockSuperjam: El Santo, Glorium, Johnboy, The American Psycho Band, Bucketful, Buddhachest, Gomez, Gut, Figbash, Kerosene, Boy Wonder, Kids Meal",The American Psycho Band,The PunkRockSuperjam,10481
July,3,1993,Cameo Theater,"The PunkRockSuperjam: El Santo, Glorium, Johnboy, The American Psycho Band, Bucketful, Buddhachest, Gomez, Gut, Figbash, Kerosene, Boy Wonder, Kids Meal",Bucketful,The PunkRockSuperjam,10481
July,3,1993,Cameo Theater,"The PunkRockSuperjam: El Santo, Glorium, Johnboy, The American Psycho Band, Bucketful, Buddhachest, Gomez, Gut, Figbash, Kerosene, Boy Wonder, Kids Meal",Buddhachest,The PunkRockSuperjam,10481
July,3,1993,Cameo Theater,"The PunkRockSuperjam: El Santo, Glorium, Johnboy, The American Psycho Band, Bucketful, Buddhachest, Gomez, Gut, Figbash, Kerosene, Boy Wonder, Kids Meal",Gomez,The PunkRockSuperjam,10481
July,3,1993,Cameo Theater,"The PunkRockSuperjam: El Santo, Glorium, Johnboy, The American Psycho Band, Bucketful, Buddhachest, Gomez, Gut, Figbash, Kerosene, Boy Wonder, Kids Meal",Gut,The PunkRockSuperjam,10481
July,3,1993,Cameo Theater,"The PunkRockSuperjam: El Santo, Glorium, Johnboy, The American Psycho Band, Bucketful, Buddhachest, Gomez, Gut, Figbash, Kerosene, Boy Wonder, Kids Meal",Figbash,The PunkRockSuperjam,10481
July,3,1993,Cameo Theater,"The PunkRockSuperjam: El Santo, Glorium, Johnboy, The American Psycho Band, Bucketful, Buddhachest, Gomez, Gut, Figbash, Kerosene, Boy Wonder, Kids Meal",Kerosene,The PunkRockSuperjam,10481
July,3,1993,Cameo Theater,"The PunkRockSuperjam: El Santo, Glorium, Johnboy, The American Psycho Band, Bucketful, Buddhachest, Gomez, Gut, Figbash, Kerosene, Boy Wonder, Kids Meal",Boy Wonder,The PunkRockSuperjam,10481
July,3,1993,Cameo Theater,"The PunkRockSuperjam: El Santo, Glorium, Johnboy, The American Psycho Band, Bucketful, Buddhachest, Gomez, Gut, Figbash, Kerosene, Boy Wonder, Kids Meal",Kids Meal,The PunkRockSuperjam,10481
July,3,1993,Moe's Lounge,Los Cyclones,Los Cyclones,,10482
July,4,1993,Moe's Lounge,"Los Cachies, Eddie ""Lalo"" Torres",Los Cachies,,10483
July,4,1993,Moe's Lounge,"Los Cachies, Eddie ""Lalo"" Torres",Eddie Lalo Torres,,10483
July,4,1993,Randolph Country Roundup,Los Carnales del Chapparo Solis,Los Carnales del Chapparo Solis,,10484
July,4,1993,El Camaroncito,Bene Medina,Bene Medina,,10485
July,4,1993,King Armadillo,Grupo Motivo,Grupo Motivo,,10486
July,4,1993,Cameo Theater,"Grimefest: Agony Column, Spunk, Manhole, Boxcar Satan, El Santo, Big Drag",Agony Column,Grimefest,10487
July,4,1993,Cameo Theater,"Grimefest: Agony Column, Spunk, Manhole, Boxcar Satan, El Santo, Big Drag",Spunk,Grimefest,10487
July,4,1993,Cameo Theater,"Grimefest: Agony Column, Spunk, Manhole, Boxcar Satan, El Santo, Big Drag",Manhole,Grimefest,10487
July,4,1993,Cameo Theater,"Grimefest: Agony Column, Spunk, Manhole, Boxcar Satan, El Santo, Big Drag",Boxcar Satan,Grimefest,10487
July,4,1993,Cameo Theater,"Grimefest: Agony Column, Spunk, Manhole, Boxcar Satan, El Santo, Big Drag",El Santo,Grimefest,10487
July,4,1993,Cameo Theater,"Grimefest: Agony Column, Spunk, Manhole, Boxcar Satan, El Santo, Big Drag",Big Drag,Grimefest,10487
July,4,1993,The Little House,The Heartfixers,The Heartfixers,,10488
July,4,1993,Salute,Randy Garibay & Cats Don't Sleep,Randy Garibay & Cats Don't Sleep,,10489
July,4,1993,Billy Blues BBQ,Toat Lee Bluz,Toat Lee Bluz,,10490
July,5,1993,Billy Blues BBQ,"Jimmy Spacek & Heavy Traffic, R.B. Blackstone",Jimmy Spacek & Heavy Traffic,,10491
July,5,1993,Billy Blues BBQ,"Jimmy Spacek & Heavy Traffic, R.B. Blackstone",R.B. Blackstone,,10491
July,6,1993,Billy Blues BBQ,"Ron Young and D.J. Stone, I Ching Gatos",Ron Young and D.J. Stone,,10492
July,6,1993,Billy Blues BBQ,"Ron Young and D.J. Stone, I Ching Gatos",I Ching Gatos,,10492
July,6,1993,Six Flags Fiesta Texas,Clay Blaker & the Texas Honky Tonk Band,Clay Blaker & the Texas Honky Tonk Band,,10493
July,6,1993,Diva's,The Dead Crickets,The Dead Crickets,,10494
July,7,1993,Boardwalk Bistro,The Infidels,The Infidels,,10495
July,7,1993,Six Flags Fiesta Texas,Robert Earl Keen,Robert Earl Keen,,10496
July,7,1993,Salute,"Randy Garibay, Steve Jordan, Henry Brun, Joe Jama",Randy Garibay,,10497
July,7,1993,Salute,"Randy Garibay, Steve Jordan, Henry Brun, Joe Jama",Steve Jordan,,10497
July,7,1993,Salute,"Randy Garibay, Steve Jordan, Henry Brun, Joe Jama",Henry Brun,,10497
July,7,1993,Salute,"Randy Garibay, Steve Jordan, Henry Brun, Joe Jama",Joe Jama,,10497
July,7,1993,Billy Blues BBQ,Kaz Jazz,Kaz Jazz,,10498
July,7,1993,Wacky's,"The Robertsons, Bohemian Holiday",The Robertsons,,10499
July,7,1993,Wacky's,"The Robertsons, Bohemian Holiday",Bohemian Holiday,,10499
July,7,1993,TACOLAND,The Infidels,The Infidels,,10500
July,7,1993,The Showcase,"Riff Raff, Amnesia",Riff Raff,,10501
July,7,1993,The Showcase,"Riff Raff, Amnesia",Amnesia,,10501
July,8,1993,Old Tin Barn Saloon,"The Burning Brides, The Tinglers",The Burning Brides,,10502
July,8,1993,Old Tin Barn Saloon,"The Burning Brides, The Tinglers",The Tinglers,,10502
July,8,1993,DMZ Clubhouse,"Mulch, Ballististic",Mulch,,10503
July,8,1993,DMZ Clubhouse,"Mulch, Ballististic",Ballististic,,10503
July,8,1993,Gruene Hall,Jerry Giddens,Jerry Giddens,,10504
July,8,1993,Diva's,The Infidels,The Infidels,,10505
July,8,1993,Boardwalk Bistro,Small World,Small World,,10506
July,8,1993,Main Street,The Chris Holzhaus Band,The Chris Holzhaus Band,,10507
July,8,1993,La Playa Santa Maria,The Rhythm Kings,the Rhythm Kings,,10508
July,8,1993,Six Flags Fiesta Texas,Marcia Ball,Marcia Ball,,10509
July,8,1993,Wacky's,Grindell,Grindell,,10510
July,8,1993,Billy Blues BBQ,Keri Leigh & the Blue Devils,Keri Leigh & the Blue Devils,,10511
July,29,1993,Sunken Garden Theater,"Eric Johnson, Ian Moore",Eric Johnson,,10512
July,29,1993,Sunken Garden Theater,"Eric Johnson, Ian Moore",Ian Moore,,10512
July,31,1993,Anhalt Hall,"Mid-Summer Fun Fest: Gary P. Nunn, Dana P. Wehrman and Ranger, Geronimo",Gary P. Nunn,Mid-Summer Fun Fest,10513
July,31,1993,Anhalt Hall,"Mid-Summer Fun Fest: Gary P. Nunn, Dana P. Wehrman and Ranger, Geronimo",Dana P. Wehrman and Ranger,Mid-Summer Fun Fest,10513
July,31,1993,Anhalt Hall,"Mid-Summer Fun Fest: Gary P. Nunn, Dana P. Wehrman and Ranger, Geronimo",Geronimo,Mid-Summer Fun Fest,10513
August,1,1993,Animal Defense League,Gin Blossoms,Gin Blossoms,,10514
August,6,1993,Sunken Garden Theater,"Spin Doctors, Soul Asylum, Screaming Trees",Spin Doctors,,10515
August,6,1993,Sunken Garden Theater,"Spin Doctors, Soul Asylum, Screaming Trees",Soul Asylum,,10515
August,6,1993,Sunken Garden Theater,"Spin Doctors, Soul Asylum, Screaming Trees",Screaming Trees,,10515
August,15,1993,Hemisfair Park,"Hispanic State Fair: Lunna, Braulio, Paloma Blanca, Garibaldi, Los Fantasmas Del Caribe, Mazz, Jay Perez, Tormenta and Los Terribles",Lunna,Hispanic State Fair,10516
August,15,1993,Hemisfair Park,"Hispanic State Fair: Lunna, Braulio, Paloma Blanca, Garibaldi, Los Fantasmas Del Caribe, Mazz, Jay Perez, Tormenta and Los Terribles",Braulio,Hispanic State Fair,10516
August,15,1993,Hemisfair Park,"Hispanic State Fair: Lunna, Braulio, Paloma Blanca, Garibaldi, Los Fantasmas Del Caribe, Mazz, Jay Perez, Tormenta and Los Terribles",Paloma Blanca,Hispanic State Fair,10516
August,15,1993,Hemisfair Park,"Hispanic State Fair: Lunna, Braulio, Paloma Blanca, Garibaldi, Los Fantasmas Del Caribe, Mazz, Jay Perez, Tormenta and Los Terribles",Garibaldi,Hispanic State Fair,10516
August,15,1993,Hemisfair Park,"Hispanic State Fair: Lunna, Braulio, Paloma Blanca, Garibaldi, Los Fantasmas Del Caribe, Mazz, Jay Perez, Tormenta and Los Terribles",Los Fantasmas Del Caribe,Hispanic State Fair,10516
August,15,1993,Hemisfair Park,"Hispanic State Fair: Lunna, Braulio, Paloma Blanca, Garibaldi, Los Fantasmas Del Caribe, Mazz, Jay Perez, Tormenta and Los Terribles",Mazz,Hispanic State Fair,10516
August,15,1993,Hemisfair Park,"Hispanic State Fair: Lunna, Braulio, Paloma Blanca, Garibaldi, Los Fantasmas Del Caribe, Mazz, Jay Perez, Tormenta and Los Terribles",Jay Perez,Hispanic State Fair,10516
August,15,1993,Hemisfair Park,"Hispanic State Fair: Lunna, Braulio, Paloma Blanca, Garibaldi, Los Fantasmas Del Caribe, Mazz, Jay Perez, Tormenta and Los Terribles",Tormenta and Los Terribles,Hispanic State Fair,10516
August,15,1993,Sunken Garden Theater,"Selena, La Sombra, La Tropa F, Los Desperados, Grupo Vida",Selena,,10517
August,15,1993,Sunken Garden Theater,"Selena, La Sombra, La Tropa F, Los Desperados, Grupo Vida",La Sombra,,10517
August,15,1993,Sunken Garden Theater,"Selena, La Sombra, La Tropa F, Los Desperados, Grupo Vida",La Tropa F,,10517
August,15,1993,Sunken Garden Theater,"Selena, La Sombra, La Tropa F, Los Desperados, Grupo Vida",Los Desperados,,10517
August,15,1993,Sunken Garden Theater,"Selena, La Sombra, La Tropa F, Los Desperados, Grupo Vida",Grupo Vida,,10517
August,19,1993,Carver Community Cultural Center,"19th Carver Jazz Festival: Beverly Houston and Breezin', Mary Parchman (piano), Sam Moore Jr. (guitar)",Beverly Houston and Breezin',19th Carver Jazz Festival,10518
August,19,1993,Carver Community Cultural Center,"19th Carver Jazz Festival: Beverly Houston and Breezin', Mary Parchman (piano), Sam Moore Jr. (guitar)",Mary Parchman (piano),19th Carver Jazz Festival,10518
August,19,1993,Carver Community Cultural Center,"19th Carver Jazz Festival: Beverly Houston and Breezin', Mary Parchman (piano), Sam Moore Jr. (guitar)",Sam Moore Jr. (guitar),19th Carver Jazz Festival,10518
August,20,1993,Carver Community Cultural Center,"19th Carver Jazz Festival: Ronnie Laws, Michael Ward and Kyle Turner, Henry Brun and the Latin Players",Ronnie Laws,19th Carver Jazz Festival,10519
August,20,1993,Carver Community Cultural Center,"19th Carver Jazz Festival: Ronnie Laws, Michael Ward and Kyle Turner, Henry Brun and the Latin Players",Michael Ward and Kyle Turner,19th Carver Jazz Festival,10519
August,20,1993,Carver Community Cultural Center,"19th Carver Jazz Festival: Ronnie Laws, Michael Ward and Kyle Turner, Henry Brun and the Latin Players",Henry Brun and the Latin Players,19th Carver Jazz Festival,10519
August,21,1993,Carver Community Cultural Center,"19th Carver Jazz Festival: Andrew Cyrille, the James Claw Quintet, Cecil Carter/Tim McWright Quintet",Andrew Cyrille,19th Carver Jazz Festival,10520
August,21,1993,Carver Community Cultural Center,"19th Carver Jazz Festival: Andrew Cyrille, the James Claw Quintet, Cecil Carter/Tim McWright Quintet",the James Claw Quintet,19th Carver Jazz Festival,10520
August,21,1993,Carver Community Cultural Center,"19th Carver Jazz Festival: Andrew Cyrille, the James Claw Quintet, Cecil Carter/Tim McWright Quintet",Cecil Carter/Tim McWright Quintet,19th Carver Jazz Festival,10520
August,28,1993,Sunken Garden Theater,"Reggae Day in the Park: Jimmy Cliff and his six-piece Oneness Band, Big Mountain, the Itals and Jahmanla",Jimmy Cliff and his six-piece Oneness Band,Reggae Day in the Park,10521
August,28,1993,Sunken Garden Theater,"Reggae Day in the Park: Jimmy Cliff and his six-piece Oneness Band, Big Mountain, the Itals and Jahmanla",Big Mountain,Reggae Day in the Park,10521
August,28,1993,Sunken Garden Theater,"Reggae Day in the Park: Jimmy Cliff and his six-piece Oneness Band, Big Mountain, the Itals and Jahmanla",the Itals and Jahmanla,Reggae Day in the Park,10521
September,4,1993,Sea World of Texas,Doobie Brothers,Doobie Brothers,,10522
September,5,1993,Alamodome,"George Strait, Brooks & Dunn, Lee Roy Parnell, Suzy Bogguss, Delbert McClinton, McBride & the Ride, Aaron Barker, Bobbie Cryner and Sisters Morales.",George Strait,,10523
September,5,1993,Alamodome,"George Strait, Brooks & Dunn, Lee Roy Parnell, Suzy Bogguss, Delbert McClinton, McBride & the Ride, Aaron Barker, Bobbie Cryner and Sisters Morales.",Brooks & Dunn,,10523
September,5,1993,Alamodome,"George Strait, Brooks & Dunn, Lee Roy Parnell, Suzy Bogguss, Delbert McClinton, McBride & the Ride, Aaron Barker, Bobbie Cryner and Sisters Morales.",Lee Roy Parnell,,10523
